"序号","方向","论文","年份","核心贡献","可用代码","数据集","来源链接","对课题价值","保留/淘汰理由"
"1","主体一致性","DreamBooth: Fine Tuning Text-to-Image Diffusion Models for Subject-Driven Generation","2022","少量主体图微调生成模型，保持主体并迁移到新场景","项目页/社区实现","DreamBench","https://arxiv.org/abs/2208.12242","主体一致性 gate 的经典基线","保留：定义 subject-driven generation 和评估协议"
"2","主体一致性","An Image is Worth One Word: Personalizing Text-to-Image Generation using Textual Inversion","2022","用 learned token 表示新概念","官方/社区实现","自定义概念图","https://arxiv.org/abs/2208.01618","轻量 personalization baseline","保留：适合作为低成本对照"
"3","主体一致性","Multi-Concept Customization of Text-to-Image Diffusion","2022","Custom Diffusion 支持多概念个性化","官方代码","CustomConcept101","https://arxiv.org/abs/2212.04488","多主体/多概念一致性参考","保留：适合研究多潜空间干扰"
"4","主体一致性","LoRA: Low-Rank Adaptation of Large Language Models","2021","低秩适配思想可迁移到 diffusion 微调","官方/大量实现","通用","https://arxiv.org/abs/2106.09685","轻量 adapter 基础，不是视觉创新点","保留：作为工程手段"
"5","主体一致性","SVDiff: Compact Parameter Space for Diffusion Fine-Tuning","2023","用奇异值方向压缩 diffusion 微调参数","社区实现","自定义概念图","https://svdiff.github.io/","说明微调空间可被低维化","候选：理论上连接潜空间维度"
"6","主体一致性","Perfusion: Personalized Text-to-Image Generation with Dynamic Rank-1 Updates","2023","用动态 rank-1 update 做高效个性化","项目/社区实现","个性化概念","https://research.nvidia.com/labs/par/Perfusion/","高效个性化对照","候选：可与 LoRA/SVDiff 比较"
"7","主体一致性","ELITE: Encoding Visual Concepts into Textual Embeddings for Customized Text-to-Image Generation","2023","把视觉概念编码进文本嵌入以快速个性化","官方代码","自定义概念","https://github.com/csyxwei/ELITE","视觉概念到 token 的桥梁","候选：可放入 subject encoder 宽池"
"8","主体一致性","BLIP-Diffusion: Pre-trained Subject Representation for Controllable Text-to-Image Generation","2023","预训练主体表示用于可控生成","官方/社区实现","Subject images","https://arxiv.org/abs/2305.14720","连接图文预训练和主体保持","保留：适合 subject representation 方向"
"9","主体一致性","FastComposer: Tuning-Free Multi-Subject Image Generation with Localized Attention","2023","无需微调的多主体生成与局部 attention","官方代码","多主体任务","https://arxiv.org/abs/2305.10431","多主体一致性与局部注意力","保留：支持两空间/多空间互扰分析"
"10","主体一致性","Subject-Diffusion: Open Domain Personalized Text-to-Image Generation without Test-time Fine-tuning","2023","开放域主体个性化且无需测试时微调","官方代码","Subject benchmark","https://github.com/OPPO-Mente-Lab/Subject-Diffusion","zero-shot subject 方法参考","候选：需验证复现难度"
"11","主体一致性","AnyDoor: Zero-shot Object-level Image Customization","2023","对象级零样本图像定制","官方项目","对象定制数据","https://ali-vilab.github.io/AnyDoor-Page/","泛对象 subject 保持","候选：适合非人脸主体"
"12","主体一致性","IP-Adapter: Text Compatible Image Prompt Adapter for Text-to-Image Diffusion Models","2023","用 decoupled cross-attention 接入图像提示","官方代码","通用图像提示","https://arxiv.org/abs/2308.06721","PCA-B0 reference-guided 入口核心","保留：第一批代码核心"
"13","主体一致性","PhotoMaker: Customizing Realistic Human Photos via Stacked ID Embedding","2023","用堆叠身份嵌入快速定制人像","官方代码","人像身份图","https://arxiv.org/abs/2312.04461","人脸/人像主体一致性强 baseline","保留：限定在人像"
"14","主体一致性","InstantID: Zero-shot Identity-Preserving Generation in Seconds","2024","零样本身份保持生成","官方代码","人脸身份图","https://arxiv.org/abs/2401.07519","快速身份一致性实验","保留：人像方向强基线"
"15","主体一致性","PhotoMaker V2 / identity adapter family","2024","身份 adapter 方向持续演化","官方/社区实现","人像身份图","https://github.com/TencentARC/PhotoMaker","观察 identity adapter 与审美冲突","候选：二轮核验具体版本"
"16","扩散基础","Denoising Diffusion Probabilistic Models","2020","建立 DDPM 去噪生成框架","官方/社区实现","CIFAR/LSUN 等","https://arxiv.org/abs/2006.11239","时间调制的基础理论来源","保留：基础文献"
"17","扩散基础","Denoising Diffusion Implicit Models","2020","DDIM 提供确定性采样和更快推理","官方/社区实现","通用","https://arxiv.org/abs/2010.02502","采样轨迹和 timestep 实验基础","保留：时间调制基础"
"18","扩散基础","Classifier-Free Diffusion Guidance","2022","无需分类器的条件引导","官方/社区实现","通用","https://arxiv.org/abs/2207.12598","解释 guidance scale 如何影响主体与美感","保留：必须作为控制变量"
"19","扩散基础","High-Resolution Image Synthesis with Latent Diffusion Models","2021","在潜空间中做扩散生成，支撑 Stable Diffusion","官方/社区实现","LAION 等","https://arxiv.org/abs/2112.10752","潜空间调制的基础","保留：基础文献"
"20","扩散基础","SDEdit: Guided Image Synthesis and Editing with Stochastic Differential Equations","2021","通过加噪再去噪实现图像编辑","官方代码","图像编辑任务","https://arxiv.org/abs/2108.01073","编辑强度和保真度关系参考","保留：时间干预基础"
"21","时间/注意力控制","Prompt-to-Prompt Image Editing with Cross Attention Control","2022","通过 cross-attention map 控制文本编辑","官方代码","图像编辑案例","https://arxiv.org/abs/2208.01626","证明 attention 层可作为时间控制入口","保留：CTAS 时间控制核心"
"22","时间/注意力控制","Null-text Inversion for Editing Real Images using Guided Diffusion Models","2022","用 null-text embedding 优化保真编辑","官方/社区实现","真实图像编辑","https://arxiv.org/abs/2211.09794","保主体时的 inversion/anchor 参考","保留：真实参考图编辑重要"
"23","时间/注意力控制","Attend-and-Excite: Attention-Based Semantic Guidance for Text-to-Image Diffusion Models","2023","推理时调整 attention 激活以避免物体缺失","官方代码","复杂 prompts","https://arxiv.org/abs/2301.13826","中期语义/对象控制参考","保留：可接入 attention intervention"
"24","时间/特征控制","Plug-and-Play Diffusion Features for Text-Driven Image-to-Image Translation","2022","用中间特征注入实现编辑一致性","官方代码","图像翻译案例","https://arxiv.org/abs/2211.12572","支持按层/按时间插入特征","保留：CTAS 工程证据"
