"序号","思想轴","来源","年份","类型","底层思想","可转化变量","对CTAS价值","是否非AIGC/非Diffusion","质量判断","来源链接"
"1","心理物理美学","Gustav Fechner, Vorschule der Aesthetik","1876","书/理论源头","审美可以像知觉一样被经验研究，而不是只靠哲学判断","empirical_aesthetics;subjective_rating;preference_distribution","把 PCA-B0 的人类小样本评价正当化为经验美学实验","是","经典源头","https://link.springer.com/book/10.1007/978-3-662-57313-6"
"2","心理物理美学","George D. Birkhoff, Aesthetic Measure","1933","书/数学美学","美感可被建模为 order 与 complexity 的关系","order;complexity;unity_in_variety","给 S_aes 提供 order/complexity 变量，不等于最终审美真理","是","经典源头","https://books.google.com/books/about/Aesthetic_Measure.html?id=KPXWAAAAMAAJ"
"3","心理物理美学","D. E. Berlyne, Aesthetics and Psychobiology","1971","书/心理美学","新颖性、复杂度、惊讶、不确定性构成 arousal potential，审美偏好常呈倒 U","novelty;complexity;surprise;arousal;inverted_U","解释为什么太像无聊、太怪失控，CTAS 应寻找主体边界内的适中激活","是","经典源头","https://cir.nii.ac.jp/crid/1362825893293865088"
"4","心理物理美学","Martindale, Moore, West, Relationship of Preference Judgments to Typicality, Novelty, and Mere Exposure","1988","论文","偏好受典型性、新颖性、重复曝光共同影响","typicality;novelty;mere_exposure;preference","把熟悉/新颖平衡接到记忆激活和主体可接受偏离","是","底层机制强","https://journals.sagepub.com/doi/10.2190/MCAJ-0GQT-DJTL-LNQD"
"5","流畅性与熟悉性","Zajonc, Attitudinal Effects of Mere Exposure","1968","论文","重复曝光本身可提升态度和喜欢程度","familiarity;exposure_frequency;liking","解释 reference/个人记忆为什么需要熟悉线索，而不是只要新奇","是","经典高影响","https://cir.nii.ac.jp/crid/1364233268648214656?lang=en"
"6","流畅性与熟悉性","Reber, Schwarz, Winkielman, Processing Fluency and Aesthetic Pleasure","2004","论文","审美愉悦部分来自加工流畅性，容易处理的刺激更容易被喜欢","processing_fluency;symmetry;contrast;prototypicality","把 S_aes 从单一美学分数拆成 fluency 与复杂度的平衡","是","经典高影响","https://pubmed.ncbi.nlm.nih.gov/15582859/"
"7","流畅性与熟悉性","Bornstein, Exposure and Affect: Overview and Meta-analysis","1989","综述","mere exposure 效应稳健，但受刺激、呈现方式和意识水平影响","exposure;affect;recognition;implicit_familiarity","用于区分用户熟悉感、识别感和真正记忆触发","是","综述价值高","https://psycnet.apa.org/record/1989-28248-001"
"8","新颖性与可接受性","Hekkert, Snelders, van Wieringen, Most Advanced Yet Acceptable","2003","论文/设计理论","审美偏好来自 typicality 与 novelty 的联合平衡","typicality;novelty;acceptability;MAYA","直接对应主体一致性约束下的创新：advanced but acceptable","是","设计理论核心","https://doi.org/10.1348/000712603762842147"
"9","新颖性与可接受性","Berghman and Hekkert, UMA model / aesthetic appeal","2017","理论模型","审美吸引力不仅是 MAYA，还涉及统一性、意义和自主性等层级","unity;meaning;autonomy;typicality;novelty","防止 CTAS 只用 novelty/typicality 解释所有美感","是","扩展理论","https://doi.org/10.1016/j.actpsy.2016.11.006"
"10","新颖性与可接受性","Loewy, MAYA principle in industrial design","1951","设计思想","最先进但仍可接受的设计更容易被大众接受","acceptable_deviation;design_boundary","把 allowed variants 写成可接受偏离，而不是任意风格化","是","思想源头","https://en.wikipedia.org/wiki/Raymond_Loewy"
"11","审美加工过程","Leder, Belke, Oeberst, Augustin, A Model of Aesthetic Appreciation and Aesthetic Judgements","2004","论文/认知模型","审美体验经过知觉分析、隐性记忆、显性分类、认知掌握和评价","perceptual_analysis;implicit_memory;classification;cognitive_mastering;evaluation","把 CTAS 的美感/记忆/情绪拆成阶段，而不是一个总分","是","审美认知核心","https://cir.nii.ac.jp/crid/1370004239451402376"
"12","审美加工过程","Pelowski et al., Aesthetic Episodes and Transformative Experiences","2017","模型/综述","审美体验可能引发情绪、意义重构和自我相关变化","meaning_making;self_relevance;transformation","支持“打动人”不只是喜欢，而可能改变解释框架","是","理论拓展","https://doi.org/10.1017/9781316479932.011"
"13","审美加工过程","Silvia, Emotional Responses to Art: From Collation and Arousal to Cognition and Emotion","2005","论文","艺术情绪来自兴趣、理解和评价，不只是刺激属性","interest;appraisal;understanding;complexity","把情绪激活与认知解释连接，适合 VLM explanation + human audit","是","理论相关","https://doi.org/10.1037/1089-2680.9.4.342"
"14","审美情绪","Menninghaus et al., The Distancing-Embracing Model of the Enjoyment of Negative Emotions in Art Reception","2017","论文/综述","艺术可通过距离化和拥抱机制让负性情绪变得可享受","aesthetic_distance;being_moved;negative_emotion_enjoyment","解释为什么怀旧、孤独、悲伤也可能动人","是","高价值厚书层","https://pmc.ncbi.nlm.nih.gov/articles/PMC5459466/"
"15","审美情绪","Schindler et al., Measuring Aesthetic Emotions","2017","论文/量表","审美情绪可细分为 awe, fascination, being moved, nostalgia 等","awe;being_moved;nostalgia;fascination;interest","给 human mini study 提供比 happy/sad 更贴切的情绪词表","是","可操作性强","https://doi.org/10.1037/emo0000259"
"16","审美情绪","Keltner and Haidt, Approaching Awe","2003","论文","敬畏来自 vastness 和 need for accommodation","vastness;accommodation;awe","解释宏大、庄严、震撼类图像如何打动人","是","情绪机制强","https://doi.org/10.1080/02699930302297"
"17","预测编码","Van de Cruys and Wagemans, Putting Reward in Art: A Tentative Prediction Error Account","2011","论文","艺术体验可来自预测误差、解释更新和张力释放","prediction_error;resolution;surprise;reward","解释 CTAS 为什么不能只最大化相似度，也要制造可解的惊喜","是","理论强","https://journals.sagepub.com/doi/10.1068/i0466aap"
