sample_id,source_image,target_image,instruction,edit_type,subject_category,subject_description,original_background,target_background,keep_constraints,negative_constraints,source_generator,edit_generator,subject_bbox,subject_mask_path,qc_status,reject_reason,split,base_sample_id,negative_type
sbg_neg_000001,supplemental/negative_samples/source/sbg_neg_000001.png,supplemental/negative_samples/target/sbg_neg_000001.png,保持主体a calm red fox with a white chest and black-tipped ears的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从misty pine forest clearing改为a quiet seaside boardwalk。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_replace,animal,a calm red fox with a white chest and black-tipped ears,misty pine forest clearing,a quiet seaside boardwalk,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_negative_v1,"200,175,904,992",supplemental/negative_samples/masks/sbg_neg_000001.png,rejected,subject_color_changed,test,sbg_000001,subject_color_changed
sbg_neg_000002,supplemental/negative_samples/source/sbg_neg_000002.png,supplemental/negative_samples/target/sbg_neg_000002.png,保持主体a sitting orange tabby cat with clear stripes and green eyes的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从sunlit apartment windowsill改为a snowy mountain village。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_replace,animal,a sitting orange tabby cat with clear stripes and green eyes,sunlit apartment windowsill,a snowy mountain village,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_negative_v1,"200,175,904,992",supplemental/negative_samples/masks/sbg_neg_000002.png,rejected,subject_size_or_position_changed,test,sbg_000002,subject_size_or_position_changed
sbg_neg_000003,supplemental/negative_samples/source/sbg_neg_000003.png,supplemental/negative_samples/target/sbg_neg_000003.png,保持主体a golden retriever wearing a plain blue collar的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从suburban backyard lawn改为a clean modern museum hall。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_replace,animal,a golden retriever wearing a plain blue collar,suburban backyard lawn,a clean modern museum hall,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_negative_v1,"200,175,904,992",supplemental/negative_samples/masks/sbg_neg_000003.png,rejected,subject_occluded,test,sbg_000003,subject_occluded
sbg_neg_000004,supplemental/negative_samples/source/sbg_neg_000004.png,supplemental/negative_samples/target/sbg_neg_000004.png,保持主体a round panda bear with black eye patches and soft white fur的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从bamboo grove改为a desert road at golden hour。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_replace,animal,a round panda bear with black eye patches and soft white fur,bamboo grove,a desert road at golden hour,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_negative_v1,"200,175,904,992",supplemental/negative_samples/masks/sbg_neg_000004.png,rejected,background_not_changed,test,sbg_000004,background_not_changed
sbg_neg_000005,supplemental/negative_samples/source/sbg_neg_000005.png,supplemental/negative_samples/target/sbg_neg_000005.png,保持主体a small penguin standing upright with glossy black feathers的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从icy shoreline改为a peaceful lakeside campsite。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_replace,animal,a small penguin standing upright with glossy black feathers,icy shoreline,a peaceful lakeside campsite,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_negative_v1,"200,175,904,992",supplemental/negative_samples/masks/sbg_neg_000005.png,rejected,artifact_or_low_quality,test,sbg_000005,artifact_or_low_quality
sbg_neg_000006,supplemental/negative_samples/source/sbg_neg_000006.png,supplemental/negative_samples/target/sbg_neg_000006.png,保持主体a white rabbit with upright ears and a small gray nose的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从spring meadow改为a bright greenhouse full of plants。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_replace,animal,a white rabbit with upright ears and a small gray nose,spring meadow,a bright greenhouse full of plants,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_negative_v1,"200,175,904,992",supplemental/negative_samples/masks/sbg_neg_000006.png,rejected,subject_color_changed,test,sbg_000006,subject_color_changed
sbg_neg_000007,supplemental/negative_samples/source/sbg_neg_000007.png,supplemental/negative_samples/target/sbg_neg_000007.png,保持主体a brown owl with large amber eyes perched on a branch的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从old woodland改为a cobblestone old town street。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_replace,animal,a brown owl with large amber eyes perched on a branch,old woodland,a cobblestone old town street,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_negative_v1,"200,175,904,992",supplemental/negative_samples/masks/sbg_neg_000007.png,rejected,subject_size_or_position_changed,test,sbg_000007,subject_size_or_position_changed
sbg_neg_000008,supplemental/negative_samples/source/sbg_neg_000008.png,supplemental/negative_samples/target/sbg_neg_000008.png,保持主体a green turtle with a patterned shell on flat stone的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从quiet pond edge改为a simple studio with pastel backdrop。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_replace,animal,a green turtle with a patterned shell on flat stone,quiet pond edge,a simple studio with pastel backdrop,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_negative_v1,"200,175,904,992",supplemental/negative_samples/masks/sbg_neg_000008.png,rejected,subject_occluded,test,sbg_000008,subject_occluded
sbg_neg_000009,supplemental/negative_samples/source/sbg_neg_000009.png,supplemental/negative_samples/target/sbg_neg_000009.png,保持主体a gray squirrel holding a small acorn的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从city park bench改为a quiet seaside boardwalk。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_replace,animal,a gray squirrel holding a small acorn,city park bench,a quiet seaside boardwalk,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_negative_v1,"200,175,904,992",supplemental/negative_samples/masks/sbg_neg_000009.png,rejected,background_not_changed,test,sbg_000009,background_not_changed
sbg_neg_000010,supplemental/negative_samples/source/sbg_neg_000010.png,supplemental/negative_samples/target/sbg_neg_000010.png,保持主体a red panda with a ringed tail standing on a log的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从temperate forest改为a snowy mountain village。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_replace,animal,a red panda with a ringed tail standing on a log,temperate forest,a snowy mountain village,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_negative_v1,"200,175,904,992",supplemental/negative_samples/masks/sbg_neg_000010.png,rejected,artifact_or_low_quality,test,sbg_000010,artifact_or_low_quality
