"序号","数据集","任务层","标签类型","规模","许可","下载源","来源链接","是否适合训练","是否适合评估","备注"
"1","DreamBench","主体一致性","subject images, prompts, evaluation protocol","约 30 subjects","论文/项目许可需二次确认","项目页","https://dreambooth.github.io/","否","是","主体驱动生成的经典评估协议，可作为 gate 基准"
"2","DreamBench++","主体一致性","multi-subject, prompt, benchmark labels","公开 benchmark","GitHub/论文许可需确认","GitHub","https://github.com/yuangpeng/dreambench_plus","否","是","扩展 subject-driven generation 评估，适合补充 DreamBench"
"3","CustomConcept101","主体一致性","custom concept images, prompts","101 concepts","GitHub 许可需确认","GitHub","https://github.com/adobe-research/custom-diffusion","可少量","是","适合测试个性化概念保持与泛化"
"4","SubjectBench","主体一致性","subject prompts, consistency benchmark","公开 benchmark","论文/项目许可需确认","项目/代码页","https://github.com/OPPO-Mente-Lab/SubjectBench","否","是","若可用，适合作为更专门的主体一致性评估"
"5","VGGFace2","身份一致性","face identity labels","约 3.3M images, 9k identities","研究用途，需申请/遵守许可","官方页","https://www.robots.ox.ac.uk/~vgg/data/vgg_face2/","可训练身份模型","是","只适合人脸身份，不代表一般主体"
"6","CelebA","身份/属性","face attributes, landmarks","约 200k images","研究用途","官方页","https://mmlab.ie.cuhk.edu.hk/projects/CelebA.html","可训练属性/身份 proxy","可评估","适合身份属性漂移分析，但存在名人偏差"
"7","FFHQ","身份/质量","high-quality face images","70k images","NVIDIA 许可","GitHub","https://github.com/NVlabs/ffhq-dataset","可训练生成/质量 proxy","可评估","可用于人脸生成质量，不适合个人记忆结论"
"8","LAION-Aesthetics","审美/偏好","CLIP-based aesthetic score","数百万级子集","LAION 数据许可，需核查具体子集","LAION 文档","https://github.com/LAION-AI/laion-datasets/blob/main/laion-aesthetic.md","可训练审美 proxy","可评估","适合作为大规模美学先验，但不是人类个体偏好"
"9","AVA","审美/摄影","aesthetic rating distribution","约 250k images","需遵守 AVA 来源许可","项目页","https://www.dpchallenge.com/","可训练","是","经典审美数据，偏摄影竞赛语境"
"10","AADB","审美/属性","aesthetic score, attributes","约 10k images","研究用途，需确认","项目页","https://github.com/aimerykong/deepImageAestheticsAnalysis","可训练","是","含属性解释，适合解释美感来源"
"11","TAD66K","审美/属性","aesthetic score, attribute annotations","约 66k images","研究用途，需确认","项目/论文页","https://github.com/HuiZeng/Image-Adaptive-3DLUT","可训练","是","可作为美学增强/调色相关参考"
"12","CUHK-PQ","图像质量/审美","photo quality labels","约 17k images","研究用途，需确认","项目页","https://mmlab.ie.cuhk.edu.hk/archive/CUHKPQ/","可训练 quality proxy","可评估","更偏照片质量，不等同美感或记忆"
"13","Pick-a-Pic","人类偏好","pairwise user preferences, prompts, images","公开论文称大规模用户偏好","开放数据，需遵守 HF/项目许可","Hugging Face/项目页","https://arxiv.org/abs/2305.01569","可训练 preference model","是","非常适合 preference-only baseline 和 ranker"
"14","HPD v2","人类偏好","pairwise preferences","798,090 choices, 433,760 image pairs","项目许可需确认","GitHub/HF","https://arxiv.org/abs/2306.09341","可训练 HPS-like scorer","是","HPS v2 的数据基础，适合偏好评估"
"15","ImageRewardDB","人类偏好","prompt-image preference/rating","公开论文数据","项目许可需确认","GitHub/HF","https://arxiv.org/abs/2304.05977","可训练 reward model","是","适合评估 preference reward 与 PCA-B0 gate 的冲突"
"16","ArtEmis","情绪/艺术","emotion labels, affective language","约 80k artworks annotations","研究许可需确认","GitHub/项目页","https://artemisdataset.org/","可训练 emotion-language model","是","适合情绪解释和艺术图像感受，不等同普通照片"
"17","EmoSet","情绪/属性","emotion category, rich attributes","约 118k images","研究许可需确认","GitHub/项目页","https://vcc.tech/EmoSet","可训练 emotion scorer","是","适合视觉情绪属性分解"
"18","AffectNet","表情情绪","facial expressions, valence/arousal","约百万级 face annotations","需申请/许可","官方页","http://mohammadmahoor.com/affectnet/","可训练人脸情绪","可评估","只适合人脸表情情绪，不代表图像整体情绪"
"19","FER2013","表情情绪","facial emotion categories","约 35k faces","Kaggle/研究许可需确认","Kaggle","https://www.kaggle.com/datasets/msambare/fer2013","可训练轻量 baseline","可评估","人脸情绪 proxy，质量有限"
"20","OASIS","情绪/认知","valence, arousal ratings","900 images","开放研究用途，需遵守条款","官方页","https://www.benedekkurdi.com/#oasis","可训练小模型","是","适合情绪唤醒/愉悦度的心理学 proxy"
"21","IAPS","情绪/心理学","valence, arousal, dominance","受控图片集","受限许可","官方页","https://csea.phhp.ufl.edu/media.html","否","是","心理学经典，但许可受限，不宜作为公开训练集"
"22","VSO","视觉情感","adjective-noun pairs, sentiment","大规模 web concepts","研究用途，需确认","项目页","https://visual-sentiment-ontology.appspot.com/","可训练 sentiment proxy","可评估","适合把情绪词和视觉概念连接"
"23","MVSO","多语言视觉情感","multilingual sentiment concepts","多语言 ANP","研究用途，需确认","项目页","https://mcrlab.net/research/mvso/","可训练跨文化 sentiment proxy","可评估","适合文化语境和中文/多语言扩展"
"24","LaMem","记忆性","memorability score","约 60k images","研究用途，需确认","项目页","http://memorability.csail.mit.edu/","可训练 memorability model","是","公开记忆性 proxy，不等同个人回忆"
"25","SUN Memorability","记忆性","memorability score","约 2k images","研究用途，需确认","项目页","http://memorability.csail.mit.edu/","可训练小型 proxy","是","早期 memorability 数据，适合文献对照"
