"序号","数据集","coverage_breadth","school_bias","label_reliability","sample_diversity","license_clarity","train_fit","eval_fit","personal_memory_fit","risk_level","recommended_use"
"1","DreamBench","窄","subject-driven personalization","中","窄","中","否","高","低","中","作为历史 subject gate 基准，不作为训练集"
"2","DreamBench++","中","personalized generation benchmark","高","中","中","否","高","低","低","作为主体一致性和 personalized generation 主评估入口"
"3","CustomConcept101","中","custom concept personalization","中","中","中","少量可用","中高","低","中","用于概念保持和泛化测试，不作为审美/记忆数据"
"4","SubjectBench","中","subject benchmark","中","中","中","否","中高","低","中","作为主体一致性补充评估，需先核验下载和协议"
"5","VGGFace2","窄","face identity","高","中","低","可训练身份模型","高","低","中高","只用于人脸身份一致性，不代表一般主体"
"6","CelebA","窄","celebrity face attributes","中高","中","中","可训练属性 proxy","中","低","中","用于人脸属性漂移分析，避免泛化到物件/文化记忆"
"7","FFHQ","窄","high-quality face generation","中","中","中","可训练生成/质量 proxy","中","低","中","只做人脸质量和生成参考，不用于个人记忆"
"8","LAION-Aesthetics","宽","web-scale CLIP aesthetic proxy","中","宽","中低","可训练审美 proxy","中","低","中高","作为大规模审美先验，不能作为人类审美真理"
"9","AVA","中","photography contest aesthetics","高","中","中","可训练","高","低","中","作为经典审美评分数据，注意摄影竞赛偏置"
"10","AADB","中","aesthetic attributes","中高","中","中","可训练","高","低","中","用于解释美感属性，适合与厚书变量映射"
"11","TAD66K","中","aesthetic attributes / enhancement","中","中","中","可训练","中","低","中","作为调色和美学属性补充，不作为核心"
"12","CUHK-PQ","窄","photo quality","中","中","中","可训练 quality proxy","中","低","中","只做图像质量 proxy，不等同美感或记忆"
"13","Pick-a-Pic","中","T2I human preference","高","中","中","可训练 preference model","高","低","低中","作为 preference-only baseline 核心"
"14","HPD v2","中","T2I human preference","高","中","中","可训练 HPS scorer","高","低","低中","用于 HPS v2 交叉验证和偏好评估"
"15","ImageRewardDB","中","T2I reward preference","高","中","中","可训练 reward model","高","低","低中","用于 ImageReward 和 reward-vs-gate 冲突分析"
"16","ArtEmis","中","art emotion / affective language","高","中","中","可训练 emotion-language model","高","中","低中","用于情绪解释，不代表普通生活照片"
"17","EmoSet","宽","visual emotion attributes","高","宽","中","可训练 emotion scorer","高","中","低中","用于视觉情绪属性分解和 emotion proxy"
"18","AffectNet","窄","facial expression","高","中","低","可训练人脸情绪","中","低","中高","只用于人脸表情，不能代表图像整体情绪"
"19","FER2013","窄","facial emotion benchmark","中","窄","中","轻量训练","中","低","中","作为低成本人脸情绪 baseline，质量有限"
"20","OASIS","窄","psychological affective images","高","窄","高","不建议训练","高","中","低","用于 valence/arousal 心理学校准"
"21","IAPS","窄","psychological affective images","高","窄","低","否","高","中","中高","心理学经典评估参考，许可受限不进公开训练"
"22","VSO","中","visual sentiment ontology","中","中","中","可训练 sentiment proxy","中","中","中","用于情绪词和视觉概念映射"
"23","MVSO","中","multilingual visual sentiment","中","中","中","可训练跨文化 sentiment proxy","中","中","中","用于中文/多语言情绪词扩展"
"24","LaMem","中","image memorability","高","中","中","可训练 memory proxy","高","中","中","用于 memorability proxy，禁止等同个人回忆"
"25","SUN Memorability","窄","early image memorability","中","窄","中","少量训练","中","低中","中","作为记忆性历史对照，不做核心训练"
"26","THINGS","宽","object cognition / memory","高","宽","高","可训练对象/认知 proxy","高","中高","低","用于物件概念、认知相似性和记忆线索"
"27","DiffusionDB","宽","real user T2I prompts","中","宽","中低","可训练 prompt prior","中","低","中高","用于 prompt 宽采样和失败案例，不进核心记忆结论"
"28","PartiPrompts","中","systematic T2I prompts","高","中","高","否","高","低","低","用于系统 prompt 评估和任务采样"
"29","DrawBench","窄","challenging prompts","中高","窄","中","否","中","低","低","用于复杂 prompt 对照，规模小"
"30","T2I-CompBench","中","compositional T2I evaluation","高","中","中","否","高","低","低","用于属性、关系、数量、空间结构 gate"
"31","GenEval","中","object-focused T2I eval","高","中","中","否","高","低","低","用于对象、数量、颜色、位置自动评估"
"32","MS COCO","宽","caption/object detection","高","宽","高","可训练 caption/alignment","高","低","低","通用图文对齐和对象检测，不贴近个性化主体"
"33","Visual Genome","宽","objects/attributes/relations","高","宽","中","可训练关系 scorer","高","低中","中","用于关系/属性评估和结构 gate"
"34","GeoDE","中","geographic diversity / fairness","中高","中高","中","可做公平性分析","中高","中","中","用于文化/地域偏差评估"
"35","Dollar Street","宽","household life context","中","宽","中","不建议直接训练","中","高","中","用于生活物件、文化语境和记忆线索设计"
"36","DIG-In","中","diversity and geography for generation","中","中","中","可做公平性分析","中","中","中","用于生成偏差和多样性审计，二轮核验"
