"序号","能力轴","SOTA类型","论文/方法/数据","证据来源","为什么是SOTA","保留理由","来源链接"
"1","主体一致性","评估SOTA","DreamBench++","ICLR 2025 项目页与 leaderboard","人类对齐 personalized generation benchmark，含 concept preservation 与 prompt following 结果","作为 subject gate 评估主入口，不是生成方法","https://dreambenchplus.github.io/"
"2","主体一致性","诊断SOTA","DSH-Bench","arXiv 2603.08090，2026-04 v2","提出难度/场景感知 benchmark、58 个细粒度主体类别、SICS 指标，并评估 19 个领先模型","作为最新主体诊断框架，帮助发现 subject failure 类型","https://arxiv.org/abs/2603.08090"
"3","主体一致性","方法SOTA候选","IP-Adapter / IP-Adapter-Plus","DreamBench++ leaderboard + 官方论文","图像提示 adapter 路线强，IP-Adapter-Plus 在 DreamBench++ concept preservation 上表现突出","适合 reference-guided PCA-B0，一阶段首选 subject adapter","https://arxiv.org/abs/2308.06721"
"4","主体一致性","方法SOTA候选","DreamBooth LoRA SDXL","DreamBench++ leaderboard","在 DreamBench++ CP·PF 综合上表现强，是 fine-tuning 路线强基线","作为 fine-tuning 对照，不作为最终创新","https://dreambenchplus.github.io/"
"5","主体一致性","子域SOTA","InstantID / PhotoMaker","官方论文与代码","在人脸身份保持子域效率高、ID fidelity 强","只进入 human identity 子域，不代表所有主体","https://arxiv.org/abs/2401.07519"
"6","时间调制","源头SOTA","Prompt-to-Prompt","arXiv 2208.01626","明确 cross-attention 层控制词与空间布局关系","作为 CTAS attention-time 控制的理论源头","https://arxiv.org/abs/2208.01626"
"7","时间调制","推理干预SOTA","Attend-and-Excite","SIGGRAPH 2023 / arXiv","推理时强化 token attention，减少 catastrophic neglect 和属性绑定失败","适合中期语义/主体 token 激活实验","https://arxiv.org/abs/2301.13826"
"8","时间调制","真实图保持SOTA","Null-text Inversion","arXiv 2211.09794","用 null-text embedding 和 timestep anchor 保持真实图编辑一致性","适合 reference image 编辑与主体保持对照","https://arxiv.org/abs/2211.09794"
"9","时间调制","条件控制SOTA","ControlNet","arXiv 2302.05543 + 官方代码","结构条件控制已成 diffusion 控制基础设施","适合 early structure lock 和 layout gate","https://arxiv.org/abs/2302.05543"
"10","时间调制","适配器控制SOTA候选","IP-Adapter / T2I-Adapter scale schedule","官方论文/代码","adapter scale 可按 timestep 分段控制，适合做 early/mid/late 实验","作为 CTAS 最小可控手柄","https://github.com/tencent-ailab/IP-Adapter"
"11","因果潜空间","理论SOTA根源","Towards Causal Representation Learning","Proceedings of the IEEE / arXiv 2102.11107","系统提出从低层观测发现高层因果变量的核心问题","作为 CTAS 因果潜空间的理论总纲","https://arxiv.org/abs/2102.11107"
"12","因果潜空间","方法SOTA根源","CausalVAE","arXiv 2004.08697","指出语义因素不一定独立，可用 causal layer 建模因果相关概念","直接支撑多潜空间非独立的课题押注","https://arxiv.org/abs/2004.08697"
"13","因果潜空间","解耦根源","beta-VAE","arXiv 1606.05579","早期解耦表示学习源头，强调可解释 generative factors","作为非因果解耦 baseline，不当作当前 SOTA","https://arxiv.org/abs/1606.05579"
"14","因果潜空间","可解释根源","InfoGAN","arXiv 1606.03657","用互信息约束学习可解释潜变量","保留为可解释潜变量理论根源","https://arxiv.org/abs/1606.03657"
"15","因果潜空间","潜空间层级证据","StyleSpace / GANSpace / SeFa","CVPR/ECCV 相关论文","说明潜空间可有层级和方向，不应假设只有单层空间","作为理论启发，不进第一批 diffusion 工程","https://arxiv.org/abs/2011.12799"
"16","审美偏好","偏好数据SOTA","Pick-a-Pic / PickScore","arXiv 2305.01569 + 官方代码","大规模用户成对偏好数据，训练 PickScore","作为 preference-only baseline 核心","https://arxiv.org/abs/2305.01569"
"17","审美偏好","Reward SOTA","ImageReward","NeurIPS 2023 + 官方 GitHub","通用 T2I human preference reward，数据、代码、训练入口公开","第一批 activation ranker 必跑","https://github.com/THUDM/ImageReward"
"18","审美偏好","偏好Benchmark","HPS v2 / HPD v2","arXiv 2306.09341 + GitHub","大规模人类偏好 benchmark 与 score 模型","与 ImageReward/PickScore 交叉验证","https://arxiv.org/abs/2306.09341"
"19","审美偏好","多维偏好候选","VisionReward / MPS","AAAI 2026 / arXiv 2405.14705","把偏好拆成多维评价，避免单一总分掩盖冲突","二轮接入，适合 CTAS 多目标排序","https://github.com/zai-org/VisionReward"
"20","审美偏好","审美基础数据","LAION-Aesthetics / AVA / AADB","数据集/论文/代码","大规模审美或摄影质量标签，适合基础审美先验","只做美学 proxy，不代表记忆或情绪","https://github.com/LAION-AI/laion-datasets/blob/main/laion-aesthetic.md"
