sample_id,source_image,target_image,instruction,edit_type,subject_category,subject_description,original_background,target_background,keep_constraints,negative_constraints,source_generator,edit_generator,subject_bbox,subject_mask_path,qc_status,reject_reason,split,base_sample_id,extension_axis
sbg_cov_000001,supplemental/coverage_extension/source/sbg_cov_000001.png,supplemental/coverage_extension/target/sbg_cov_000001.png,保持主体a calm red fox with a white chest and black-tipped ears的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从misty pine forest clearing改为a rainy outdoor scene with wet ground。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a calm red fox with a white chest and black-tipped ears,misty pine forest clearing,a rainy outdoor scene with wet ground,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000001.png,accepted,,train,sbg_000001,animal_background_weather
sbg_cov_000002,supplemental/coverage_extension/source/sbg_cov_000002.png,supplemental/coverage_extension/target/sbg_cov_000002.png,保持主体a sitting orange tabby cat with clear stripes and green eyes的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从sunlit apartment windowsill改为a snowy outdoor scene with gentle snow。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a sitting orange tabby cat with clear stripes and green eyes,sunlit apartment windowsill,a snowy outdoor scene with gentle snow,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000002.png,accepted,,train,sbg_000002,animal_background_weather
sbg_cov_000003,supplemental/coverage_extension/source/sbg_cov_000003.png,supplemental/coverage_extension/target/sbg_cov_000003.png,保持主体a golden retriever wearing a plain blue collar的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从suburban backyard lawn改为a foggy outdoor scene with soft mist。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a golden retriever wearing a plain blue collar,suburban backyard lawn,a foggy outdoor scene with soft mist,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000003.png,accepted,,train,sbg_000003,animal_background_weather
sbg_cov_000004,supplemental/coverage_extension/source/sbg_cov_000004.png,supplemental/coverage_extension/target/sbg_cov_000004.png,保持主体a round panda bear with black eye patches and soft white fur的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从bamboo grove改为a bright post-rain scene with clear reflections。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a round panda bear with black eye patches and soft white fur,bamboo grove,a bright post-rain scene with clear reflections,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000004.png,accepted,,train,sbg_000004,animal_background_weather
sbg_cov_000005,supplemental/coverage_extension/source/sbg_cov_000005.png,supplemental/coverage_extension/target/sbg_cov_000005.png,保持主体a small penguin standing upright with glossy black feathers的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从icy shoreline改为a rainy outdoor scene with wet ground。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a small penguin standing upright with glossy black feathers,icy shoreline,a rainy outdoor scene with wet ground,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000005.png,accepted,,train,sbg_000005,animal_background_weather
sbg_cov_000006,supplemental/coverage_extension/source/sbg_cov_000006.png,supplemental/coverage_extension/target/sbg_cov_000006.png,保持主体a white rabbit with upright ears and a small gray nose的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从spring meadow改为a snowy outdoor scene with gentle snow。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a white rabbit with upright ears and a small gray nose,spring meadow,a snowy outdoor scene with gentle snow,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000006.png,accepted,,test,sbg_000006,animal_background_weather
sbg_cov_000007,supplemental/coverage_extension/source/sbg_cov_000007.png,supplemental/coverage_extension/target/sbg_cov_000007.png,保持主体a brown owl with large amber eyes perched on a branch的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从old woodland改为a foggy outdoor scene with soft mist。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a brown owl with large amber eyes perched on a branch,old woodland,a foggy outdoor scene with soft mist,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000007.png,accepted,,train,sbg_000007,animal_background_weather
sbg_cov_000008,supplemental/coverage_extension/source/sbg_cov_000008.png,supplemental/coverage_extension/target/sbg_cov_000008.png,保持主体a green turtle with a patterned shell on flat stone的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从quiet pond edge改为a bright post-rain scene with clear reflections。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a green turtle with a patterned shell on flat stone,quiet pond edge,a bright post-rain scene with clear reflections,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000008.png,accepted,,train,sbg_000008,animal_background_weather
sbg_cov_000009,supplemental/coverage_extension/source/sbg_cov_000009.png,supplemental/coverage_extension/target/sbg_cov_000009.png,保持主体a gray squirrel holding a small acorn的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从city park bench改为a rainy outdoor scene with wet ground。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a gray squirrel holding a small acorn,city park bench,a rainy outdoor scene with wet ground,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000009.png,accepted,,train,sbg_000009,animal_background_weather
sbg_cov_000010,supplemental/coverage_extension/source/sbg_cov_000010.png,supplemental/coverage_extension/target/sbg_cov_000010.png,保持主体a red panda with a ringed tail standing on a log的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从temperate forest改为a snowy outdoor scene with gentle snow。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a red panda with a ringed tail standing on a log,temperate forest,a snowy outdoor scene with gentle snow,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000010.png,accepted,,train,sbg_000010,animal_background_weather
sbg_cov_000011,supplemental/coverage_extension/source/sbg_cov_000011.png,supplemental/coverage_extension/target/sbg_cov_000011.png,保持主体a koala holding a eucalyptus branch的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从eucalyptus woodland改为a foggy outdoor scene with soft mist。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a koala holding a eucalyptus branch,eucalyptus woodland,a foggy outdoor scene with soft mist,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000011.png,accepted,,train,sbg_000011,animal_background_weather
sbg_cov_000012,supplemental/coverage_extension/source/sbg_cov_000012.png,supplemental/coverage_extension/target/sbg_cov_000012.png,保持主体a small hedgehog curled slightly with visible spines的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从garden path改为a bright post-rain scene with clear reflections。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_weather,animal,a small hedgehog curled slightly with visible spines,garden path,a bright post-rain scene with clear reflections,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000012.png,accepted,,test,sbg_000012,animal_background_weather
sbg_cov_000013,supplemental/coverage_extension/source/sbg_cov_000013.png,supplemental/coverage_extension/target/sbg_cov_000013.png,保持主体a bright green frog sitting on a smooth rock的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从rainforest stream改为a soft watercolor-style background while the subject remains photorealistic。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_style,animal,a bright green frog sitting on a smooth rock,rainforest stream,a soft watercolor-style background while the subject remains photorealistic,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000013.png,accepted,,train,sbg_000013,animal_background_style
sbg_cov_000014,supplemental/coverage_extension/source/sbg_cov_000014.png,supplemental/coverage_extension/target/sbg_cov_000014.png,保持主体a yellow duckling standing on dry ground的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从farm courtyard改为a clean paper-cut style background while the subject remains unchanged。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_style,animal,a yellow duckling standing on dry ground,farm courtyard,a clean paper-cut style background while the subject remains unchanged,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000014.png,accepted,,train,sbg_000014,animal_background_style
sbg_cov_000015,supplemental/coverage_extension/source/sbg_cov_000015.png,supplemental/coverage_extension/target/sbg_cov_000015.png,保持主体a green chameleon gripping a branch with curled tail的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从tropical greenhouse改为a minimal flat-color studio background while the subject remains unchanged。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_style,animal,a green chameleon gripping a branch with curled tail,tropical greenhouse,a minimal flat-color studio background while the subject remains unchanged,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000015.png,accepted,,train,sbg_000015,animal_background_style
sbg_cov_000016,supplemental/coverage_extension/source/sbg_cov_000016.png,supplemental/coverage_extension/target/sbg_cov_000016.png,保持主体a river otter with wet brown fur sitting upright的身份、轮廓、姿态、颜色、材质、大小和画面位置不变，仅将背景从riverbank改为a cinematic realistic background while the subject remains unchanged。不要改变主体，不要新增遮挡主体的物体，不要改变主体风格。,background_style,animal,a river otter with wet brown fur sitting upright,riverbank,a cinematic realistic background while the subject remains unchanged,subject_identity_preserved;subject_pose_preserved;subject_color_material_preserved;subject_size_position_preserved,no_subject_change;no_subject_occlusion;no_style_transfer_on_subject;no_extra_main_subject,chatgpt_image2,scripted_background_composite_v1,"200,175,904,992",supplemental/coverage_extension/masks/sbg_cov_000016.png,accepted,,train,sbg_000016,animal_background_style
