"序号","能力轴","资料","保护变量","干预位置","评估目标","独特贡献","与谁重复","是否保留","处理理由"
"1","主体一致性","DreamBench++","S_id concept preservation","评估层","human-aligned personalized generation","人类对齐 benchmark + leaderboard","DreamBench 原版","保留","E1 证据，替代原 DreamBench 作为主评估入口"
"2","主体一致性","DSH-Bench","S_id taxonomy / difficulty","评估层","subject identity consistency","58 类细粒度主体与 SICS 诊断","DreamBench++ 部分重叠","保留","提供难度/场景诊断，不重复"
"3","主体一致性","IP-Adapter-Plus","S_id reference visual feature","image prompt adapter","concept preservation","无需训练接参考图，适合 PCA-B0 workflow","IP-Adapter 基础版","保留","adapter 路线核心"
"4","主体一致性","DreamBooth LoRA SDXL","S_id fine-tuned subject","model adapter weights","concept preservation + prompt following","fine-tuning 强基线","Textual Inversion / Custom Diffusion","保留","作为强对照，不作为创新"
"5","主体一致性","PhotoMaker","S_id human identity","stacked ID embedding","human photo ID fidelity","人像 ID embedding 快速个性化","InstantID","保留-子域","只限人像，不代表对象主体"
"6","主体一致性","Textual Inversion","S_id token concept","text embedding","low-cost personalization","轻量源头方法","DreamBooth LoRA 更强","淘汰-核心外","保留为 related work，第一批不跑"
"7","时间调制","Prompt-to-Prompt","S_layout / token-region relation","cross-attention map","edit fidelity and text control","证明 attention 是可控空间布局接口","Attend-and-Excite","保留","CTAS 时间控制源头"
"8","时间调制","Attend-and-Excite","S_semantic subject token","inference-time attention update","semantic completeness","推理时强化 token 避免 neglect","Prompt-to-Prompt","保留","干预目标不同，不重复"
"9","时间调制","Null-text Inversion","S_structure / real image anchor","timestep inversion trajectory","real image edit fidelity","把真实参考图锚定到扩散轨迹","SDEdit","保留","适合 reference editing"
"10","时间调制","ControlNet","S_layout / condition map","conditional branch","structure preservation","结构条件控制基础设施","T2I-Adapter","保留","用于 early lock"
"11","时间调制","T2I-Adapter","S_layout / condition feature","lightweight adapter","condition following","轻量控制，与 ControlNet 工程权衡不同","ControlNet","保留-候选","二轮看依赖和效果"
"12","时间调制","FreeU","S_aes texture quality","U-Net feature reweighting","sample quality","无训练质量增强","后期 enhancer 类方法","淘汰-核心外","不直接回答时间因果，只做后期质量对照"
"13","因果潜空间","Towards Causal Representation Learning","causal variables","理论层","discover high-level causal variables","定义从观测发现因果变量的理论问题","CausalVAE","保留","理论总纲"
"14","因果潜空间","CausalVAE","S_id/S_aes/S_affect causal factors","latent causal layer","counterfactual intervention","明确语义因素非独立且可 do-operation","beta-VAE","保留","直接支撑 CTAS 押注"
"15","因果潜空间","beta-VAE","disentangled factors","latent representation","independent factor discovery","解耦源头","FactorVAE / beta-TCVAE","保留-理论","作为非因果 baseline"
"16","因果潜空间","InfoGAN","interpretable latent code","latent mutual information","semantic control","互信息学习可解释变量","beta-VAE","保留-理论","理论根源，不进 diffusion 工程"
"17","因果潜空间","GANSpace / StyleSpace","style latent directions","GAN latent/layer","editable semantic directions","证明潜空间分层/局部方向","SeFa","保留-启发","非 diffusion，只作理论启发"
"18","审美偏好","Pick-a-Pic / PickScore","S_aes preference","ranker layer","pairwise human preference","真实用户成对偏好数据","HPSv2 / ImageReward","保留","偏好基线核心"
"19","审美偏好","ImageReward","S_aes human preference","reward model","prompt-image preference","通用 T2I RM，代码/数据/训练入口齐","PickScore","保留","第一批必跑"
"20","审美偏好","HPSv2 / HPD v2","S_aes human preference","score model","human preference benchmark","大规模偏好 benchmark","Pick-a-Pic","保留","交叉验证 scorer"
"21","审美偏好","VisionReward / MPS","S_aes multi-dimensional preference","multi-dimensional reward","interpretable preference dimensions","多维偏好，避免单分数","ImageReward","保留-候选","二轮接入，理论更贴合"
"22","审美偏好","NIMA / AVA-only scorers","S_aes photo quality","single aesthetic predictor","aesthetic quality","经典但偏摄影质量","LAION-Aesthetics","淘汰-核心外","不够人类偏好和记忆"
"23","情绪激活","ArtEmis","S_affect language explanation","dataset/model layer","emotion attribution + explanation","情绪标签加自然语言原因","EmoSet","保留","解释性强，不重复"
"24","情绪激活","EmoSet","S_affect visual emotion attributes","dataset/model layer","emotion category + attributes","规模大且属性丰富","ArtEmis","保留","属性结构强，不重复"
"25","情绪激活","EmotionCLIP","S_affect zero-shot emotion","embedding scorer","emotion proxy","低成本 emotion scorer","CLIP prompts","保留-候选","第一批可快速跑"
"26","情绪激活","AffectNet / FER2013","face expression","face classifier","facial expression","人脸表情强","EmoSet 更广","淘汰-核心外","只限人脸，不代表整体图像情绪"
"27","情绪激活","OASIS / IAPS","valence/arousal","psychological dataset","affective rating","心理学标签可靠","ArtEmis / EmoSet","保留-背景","许可/规模限制，不进训练核心"
"28","记忆激活","LaMem / MemNet","S_mem memorability","memorability model","image memorability","经典大规模记忆性数据和模型","THINGS memorability","保留","memory proxy 源头"
"29","记忆激活","THINGS memorability","S_mem object concept memory","behavioral dataset","object memorability / similarity","对象概念、行为、神经数据桥梁","LaMem","保留","认知结构更强，不重复"
"30","记忆激活","PerceptCLIP-Memorability","S_mem modern embedding","CLIP-LoRA predictor","memorability prediction","现代 CLIP backbone 可替旧模型","ViTMem","保留-候选","二轮核验可运行性"
"31","记忆激活","Personal Memory MiniSet","personal S_mem","human feedback loop","memory trigger / explanation","唯一能测个人记忆激活的设计","公开数据无法替代","保留","CTAS 长期核心"
"32","记忆激活","普通 image quality dataset","quality not memory","quality scorer","technical quality","与记忆弱相关","LAION/AVA","淘汰","不能替代记忆激活"
"33","组合结构","T2I-CompBench++","S_layout/S_relation/S_count","benchmark evaluator","compositional alignment","TPAMI 2025，维度全面","GenEval","保留","结构安全主入口"
"34","组合结构","GenEval","S_object/S_count/S_color","detector-based eval","object-focused alignment","对象、数量、颜色、位置强","T2I-CompBench++","保留","更对象化，不重复"
"35","组合结构","ConceptMix","S_concept mixing","VLM QA benchmark","difficulty-controlled composition","可调 k 概念难度","T2I-CompBench++","保留","压力测试能力独特"
"36","组合结构","R2I-Bench","S_reasoning/S_causal","QA-style evaluation","reasoning-driven generation","7 大推理类、32 小类","ConceptMix","保留","含 causal/reasoning，不重复"
"37","组合结构","Visual Genome-only relation metrics","S_relation","legacy relation detector","scene graph relation","老式关系检测数据","GenEval/T2I-CompBench++","淘汰-核心外","作为辅助，不作为 SOTA benchmark"
"38","人类验证","DreamBench++ GPT-4o evaluator","human alignment","VLM judge layer","personalized generation scoring","VLM 自动评估与 human alignment 验证","PCA-B0 human study","保留-借鉴","方法可借鉴，但不能替代用户记忆"
"39","人类验证","Pick-a-Pic / HPD v2","human preference","pairwise data","human aesthetic preference","大规模成对偏好","ImageRewardDB","保留","用于美感，不用于个人记忆"
"40","人类验证","PCA-B0 Human Mini Study","user-valued invariants / memory","blind human protocol","beauty/emotion/memory choice","直接测本课题目标","无公开替代","保留","必须自建"
"41","人类验证","纯 VLM 自动裁判","none / proxy","VLM-only scoring","automatic judgment","便宜可扩展","human mini study","淘汰-单独使用","只可辅助，禁止替代人类验证"
"42","人类验证","通用点赞/收藏数据","generic preference","web signal","popularity","规模大但语义噪声高","Pick-a-Pic","淘汰","不够可解释，易偏流量"
