"序号","方法","repo","依赖复杂度","是否可复现","输入输出","来源链接","可接入 PCA-B0 的模块位置","备注"
"1","Hugging Face Diffusers","huggingface/diffusers","中","高","prompt/reference/config -> generated images","https://github.com/huggingface/diffusers","candidate_generator","第一阶段生成、DreamBooth、LoRA、ControlNet、IP-Adapter 等尽量走 diffusers"
"2","PEFT/LoRA","huggingface/peft","中","高","base model + adapter config -> lightweight fine-tune","https://github.com/huggingface/peft","candidate_generator / adapter_ablation","适合轻量微调，不作为理论创新点"
"3","DreamBooth Diffusers Example","diffusers examples dreambooth","中","高","few-shot subject images -> personalized model","https://github.com/huggingface/diffusers/tree/main/examples/dreambooth","subject_gate baseline","用于主体一致性强 baseline"
"4","Textual Inversion Diffusers Example","diffusers textual_inversion","中","高","few-shot concept images -> learned token","https://github.com/huggingface/diffusers/tree/main/examples/textual_inversion","subject personalization baseline","轻量但主体保持不一定强"
"5","Custom Diffusion","adobe-research/custom-diffusion","中","中","concept images -> custom diffusion weights","https://github.com/adobe-research/custom-diffusion","subject personalization baseline","适合 CustomConcept101 相关实验"
"6","IP-Adapter","Tencent-AILab/IP-Adapter","中","高","image prompt + text prompt -> generated image","https://github.com/tencent-ailab/IP-Adapter","subject_condition / image_prompt","非常适合作为 reference-guided 入口"
"7","PhotoMaker","TencentARC/PhotoMaker","中","高","identity images + prompt -> human photo generation","https://github.com/TencentARC/PhotoMaker","identity_subject_gate","适合人像身份保持，不能泛化到所有主体"
"8","InstantID","InstantID/InstantID","中","高","face image + prompt -> identity-preserving image","https://github.com/InstantID/InstantID","identity_subject_gate","适合人脸身份门槛实验"
"9","ControlNet","lllyasviel/ControlNet","中","高","condition map + prompt -> controlled image","https://github.com/lllyasviel/ControlNet","structure_control","适合 layout/pose/depth/canny 控制"
"10","T2I-Adapter","TencentARC/T2I-Adapter","中","中","adapter condition + prompt -> generated image","https://github.com/TencentARC/T2I-Adapter","structure_control","轻量结构控制，可和 IP-Adapter 对照"
"11","GLIGEN","gligen/GLIGEN","中高","中","boxes/phrases + prompt -> grounded generation","https://github.com/gligen/GLIGEN","layout_condition","适合对象位置/关系 gate"
"12","Prompt-to-Prompt","google/prompt-to-prompt","中","中","source prompt + edited prompt -> attention-edited image","https://github.com/google/prompt-to-prompt","temporal_attention_control","时间/attention 干预的经典参考"
"13","Null-text Inversion","null-text-inversion repo","中","中","real image + prompt -> editable inversion","https://github.com/google/prompt-to-prompt/#null-text-inversion","temporal_anchor","适合真实图像编辑和保真对照"
"14","Attend-and-Excite","AttendAndExcite/Attend-and-Excite","中","中","prompt -> attention-guided image","https://github.com/AttendAndExcite/Attend-and-Excite","attention_intervention","用于推理期 attention 修复和物体缺失对照"
"15","Plug-and-Play Diffusion Features","PnP-diffusion-features","中","中","source image/prompt -> feature-guided edit","https://github.com/MichalGeyer/plug-and-play","temporal_feature_control","适合研究中间特征注入"
"16","MasaCtrl","TencentARC/MasaCtrl","中","中","source/target prompts -> mutual self-attention control","https://github.com/TencentARC/MasaCtrl","attention_control","适合一致性编辑和 attention 控制"
"17","FreeU","ChenyangSi/FreeU","低","高","diffusion model -> quality-enhanced generation","https://github.com/ChenyangSi/FreeU","late_quality_enhancement","适合作为不训练的后期质量增强对照"
"18","InstructPix2Pix","timothybrooks/instruct-pix2pix","中","中","image + instruction -> edited image","https://github.com/timothybrooks/instruct-pix2pix","edit_baseline","可做编辑式候选生成 baseline"
"19","ImageReward","THUDM/ImageReward","中","高","prompt + images -> reward score","https://github.com/THUDM/ImageReward","activation_ranker / preference_score","PCA-B0 Week2 已提到，可作为 preference-only baseline"
"20","PickScore","yuvalkirstain/PickScore","低中","高","prompt + image -> preference score","https://github.com/yuvalkirstain/PickScore","activation_ranker / preference_score","适合人类偏好 rank，对个人记忆仍只是 proxy"
"21","HPSv2","tgxs002/HPSv2","低中","高","prompt + image -> HPS score","https://github.com/tgxs002/HPSv2","activation_ranker / preference_score","适合通用偏好评估"
"22","Improved Aesthetic Predictor","christophschuhmann/improved-aesthetic-predictor","低","高","image -> aesthetic score","https://github.com/christophschuhmann/improved-aesthetic-predictor","aesthetic_proxy","轻量审美分，可做筛选不做最终真理"
"23","OpenCLIP","mlfoundations/open_clip","中","高","image/text -> embeddings/similarity","https://github.com/mlfoundations/open_clip","subject_gate / text_image_alignment","基础 embedding 工具"
